218.394253535-23.193284848i	214.597880808-16.085577778i	210.342558586-13.072412121i	206.886688889-7.865334343i	205.164439394-6.258945455i	204.183255556-5.069750505i	203.639928283-4.242963636i	202.912938384-3.529659596i	202.549516162-2.923207071i	202.135810101-2.424165657i	201.702867677-1.960544444i	201.383876768-1.639033333i	201.005625253-1.402795960i	200.714314141-1.079802020i	200.412683838-0.660612121i
203.769454545-22.452407071i	200.358577778-15.444340404i	196.221866667-12.488639394i	193.083984848-7.390967677i	191.411552525-5.877431313i	190.573253535-4.752766667i	190.011439394-3.932124242i	189.391077778-3.307882828i	189.021831313-2.708918182i	188.679919192-2.251505051i	188.239236364-1.821683838i	187.901951515-1.548717172i	187.624602020-1.292028283i	187.300595960-0.964941414i	187.004483838-0.638578788i
192.579496970-22.180450505i	189.397636364-15.113528283i	185.322897980-12.189423232i	182.372057576-7.214908081i	180.816397980-5.710829293i	180.011219192-4.568110101i	179.525663636-3.741223232i	178.944206061-3.163773737i	178.617200000-2.602443434i	178.209150505-2.147133333i	177.852134343-1.745394949i	177.524565657-1.471097980i	177.200458586-1.210145455i	176.936789899-0.918730303i	176.677607071-0.580041414i
184.238297980-21.918621212i	181.149397980-14.855194949i	177.098013131-11.946014141i	174.339465657-7.010056566i	172.791359596-5.500981818i	172.018533333-4.438750505i	171.539175758-3.706214141i	170.924553535-3.101575758i	170.607151515-2.533649495i	170.287038384-2.142286869i	169.864480808-1.765646465i	169.589640404-1.448501010i	169.270196970-1.149402020i	169.022406061-0.882301010i	168.761356566-0.579945455i
177.838991919-21.849429293i	174.803353535-14.736814141i	170.805881818-11.842467677i	168.070570707-6.889346465i	166.613666667-5.417318182i	165.841742424-4.362113131i	165.405709091-3.598008081i	164.798624242-3.015798990i	164.494841414-2.467894949i	164.187547475-2.048126263i	163.840467677-1.723530303i	163.480289899-1.437008081i	163.220782828-1.154909091i	162.915667677-0.872639394i	162.705880808-0.536835354i
172.715200000-21.745714141i	169.757775758-14.640065657i	165.842356566-11.756428283i	163.132581818-6.807343434i	161.688115152-5.356406061i	160.910307071-4.328447475i	160.477204040-3.528076768i	159.926141414-2.979459596i	159.597598990-2.475990909i	159.296011111-2.057480808i	158.889749495-1.605976768i	158.590644444-1.379347475i	158.297733333-1.113067677i	158.043016162-0.894647475i	157.838790909-0.545797980i
168.436439394-21.593006061i	165.587554545-14.501302020i	161.585498990-11.629447475i	158.987284848-6.751091919i	157.538618182-5.294141414i	156.774206061-4.246212121i	156.335122222-3.513993939i	155.752744444-2.956649495i	155.463685859-2.423775758i	155.132263636-2.023100000i	154.715906061-1.698808081i	154.448501010-1.364464646i	154.194588889-1.121783838i	153.930711111-0.852497980i	153.694510101-0.539637374i
164.593284848-21.774053535i	161.649600000-14.581172727i	157.756898990-11.621827273i	155.184388889-6.732177778i	153.722280808-5.275503030i	153.020761616-4.255759596i	152.579363636-3.483565657i	152.028259596-2.942262626i	151.683616162-2.425621212i	151.380636364-2.019392929i	151.030675758-1.622485859i	150.731165657-1.358654545i	150.435744444-1.116341414i	150.206401010-0.864998990i	149.964788889-0.518861616i
161.494578788-21.697831313i	158.606217172-14.488709091i	154.734041414-11.599860606i	152.199222222-6.716735354i	150.748086869-5.244419192i	150.032562626-4.214098990i	149.575067677-3.489427273i	149.065030303-2.929496970i	148.722412121-2.401855556i	148.417052525-1.982638384i	148.041967677-1.617126263i	147.711416162-1.368171717i	147.491889899-1.099770707i	147.218507071-0.839943434i	147.026455556-0.551092929i
158.751643434-21.488421212i	155.929903030-14.407889899i	152.027504040-11.495534343i	149.458708081-6.665302020i	148.023989899-5.217932323i	147.296678788-4.197098990i	146.885898990-3.432813131i	146.338796970-2.924214141i	146.021750505-2.404995960i	145.684421212-1.977388889i	145.279291919-1.718176768i	145.017897980-1.329520202i	144.786627273-1.088198990i	144.524646465-0.845841414i	144.322620202-0.504241414i
156.388902020-21.663362626i	153.539919192-14.494838384i	149.668187879-11.509257576i	147.127870707-6.675404040i	145.725605051-5.209671717i	144.990182828-4.193642424i	144.587153535-3.452995960i	144.030641414-2.934390909i	143.724839394-2.415458586i	143.389377778-1.987438384i	143.022234343-1.669701010i	142.724051515-1.329944444i	142.479140404-1.083558586i	142.243574747-0.808185859i	142.019239394-0.492003030i
